,seqnames,start,end,width,strand,ZAlinkage,chgpt.mean
000029F.5,000029F,3095501,3675000,579500,*,Autosome,-0.121427978546505
000030F.1,000030F,1,14000,14000,*,Z,1.46170497639345
000030F.2,000030F,14001,263000,249000,*,Autosome,0.47855099374403
000030F.3,000030F,263001,272500,9500,*,Z,2.07992378467531
000030F.4,000030F,272501,616000,343500,*,Autosome,0.289152542389435
000030F.5,000030F,616001,624000,8000,*,Z,1.64633624580187
000030F.6,000030F,624001,1285500,661500,*,Autosome,0.0725451251881482
000030F.7,000030F,1285501,1809000,523500,*,Autosome,-0.227561044582004
000030F.8,000030F,1809001,2867500,1058500,*,Autosome,0.00824959275936403
000030F.9,000030F,2867501,3603769,736269,*,Autosome,0.266059651800172
000031F.1,000031F,1,1285500,1285500,*,Autosome,-0.175755258105666
000031F.2,000031F,1285501,1292000,6500,*,Z,1.64247248107882
000031F.3,000031F,1292001,2264500,972500,*,Autosome,-0.035226912241877
000031F.4,000031F,2264501,2298000,33500,*,Z,0.918475909849354
000031F.5,000031F,2298001,2671000,373000,*,Autosome,-0.0556683066902416
000031F.6,000031F,2671001,3456000,785000,*,Autosome,0.15766856583816
000034F.1,000034F,1,17500,17500,*,Z,0.903770721879896
000034F.2,000034F,17501,240000,222500,*,Autosome,0.0824853231426347
000034F.3,000034F,240001,269000,29000,*,Z,0.897488046945527
000034F.4,000034F,269001,578000,309000,*,Autosome,0.0509353845826561
000034F.5,000034F,578001,2913500,2335500,*,Autosome,-0.197151943428549
000034F.6,000034F,2913501,2930000,16500,*,W,-1.14968528100674
000034F.7,000034F,2930001,2944500,14500,*,Z,1.47378399473954
000034F.8,000034F,2944501,2966000,21500,*,Autosome,-0.415659058102053
000034F.9,000034F,2966001,2984000,18000,*,Z,0.936868840002365
000034F.10,000034F,2984001,3323500,339500,*,Autosome,-0.178475221223653
000033F.1,000033F,1,623000,623000,*,Autosome,-0.180179515955745
000033F.2,000033F,623001,633000,10000,*,Z,1.32080019184857
000033F.3,000033F,633001,657500,24500,*,Autosome,-0.13592575652323
000033F.4,000033F,657501,664500,7000,*,Z,1.72646940901795
000033F.5,000033F,664501,924000,259500,*,Autosome,-0.412824213880892
000033F.6,000033F,924001,1420000,496000,*,Autosome,-0.0723500384828914
000033F.7,000033F,1420001,1426000,6000,*,Z,1.50840762585639
000033F.8,000033F,1426001,2347500,921500,*,Autosome,-0.190293780460442
000033F.9,000033F,2347501,2352500,5000,*,Z,1.78756361752289
000033F.10,000033F,2352501,2708000,355500,*,Autosome,-0.192211146319025
000033F.11,000033F,2708001,2714500,6500,*,Z,1.96132127323166
000033F.12,000033F,2714501,3203500,489000,*,Autosome,-0.0861052496811629
000033F.13,000033F,3203501,3320395,116895,*,Autosome,0.538711245419518
000035F.1,000035F,1,12000,12000,*,Z,1.85918442720505
000035F.2,000035F,12001,103000,91000,*,Z,0.672678908561821
000035F.3,000035F,103001,840500,737500,*,Autosome,0.292121698651493
000035F.4,000035F,840501,2209000,1368500,*,Autosome,0.00277630539672994
000035F.5,000035F,2209001,2260500,51500,*,Z,0.669791571001754
000035F.6,000035F,2260501,3106000,845500,*,Autosome,0.0953075591753145
000035F.7,000035F,3106001,3296374,190374,*,Autosome,0.511101938118936
000036F.1,000036F,1,120500,120500,*,Autosome,0.540015766153151
000036F.2,000036F,120501,613500,493000,*,Autosome,0.159785850492668
000036F.3,000036F,613501,788000,174500,*,Autosome,-0.122164793994047
000036F.4,000036F,788001,794000,6000,*,Z,1.74186408201729
000036F.5,000036F,794001,1166000,372000,*,Autosome,-0.233950643763627
000036F.6,000036F,1166001,1501000,335000,*,Autosome,0.0898556635676815
000036F.7,000036F,1501001,1519500,18500,*,W,-0.99999356267341
000036F.8,000036F,1519501,1544000,24500,*,Z,0.766425111290387
000036F.9,000036F,1544001,2255000,711000,*,Autosome,-0.150923907206504
000036F.10,000036F,2255001,2340500,85500,*,Autosome,-0.539308086126177
000036F.11,000036F,2340501,2348000,7500,*,Z,1.92126434459263
000036F.12,000036F,2348001,2955000,607000,*,Autosome,-0.256334438364509
000036F.13,000036F,2955001,2964500,9500,*,Z,1.60474437065177
000036F.14,000036F,2964501,3218500,254000,*,Autosome,-0.184547962127585
000036F.15,000036F,3218501,3251000,32500,*,Z,0.782337725993266
000037F.1,000037F,1,12500,12500,*,Z,1.33441783232904
000037F.2,000037F,12501,23500,11000,*,Autosome,-0.311270821367714
000037F.3,000037F,23501,50500,27000,*,Z,1.36429472148679
000037F.4,000037F,50501,353500,303000,*,Autosome,0.306179298444046
000037F.5,000037F,353501,389000,35500,*,W,-0.898118595459626
000037F.6,000037F,389001,1370500,981500,*,Autosome,0.202335669808201
000037F.7,000037F,1370501,1389000,18500,*,Z,1.91160679856883
000037F.8,000037F,1389001,1523000,134000,*,Autosome,0.0732471418280152
000037F.9,000037F,1523001,1530500,7500,*,Z,2.49090292489401
000037F.10,000037F,1530501,1583500,53000,*,Z,1.06560378832871
000037F.11,000037F,1583501,1663000,79500,*,Autosome,0.224165339731365
000037F.12,000037F,1663001,1670000,7000,*,Z,1.57615281045635
000037F.13,000037F,1670001,1720000,50000,*,Autosome,-0.44636102548477
000037F.14,000037F,1720001,2560000,840000,*,Autosome,0.183953484635353
000037F.15,000037F,2560001,2604500,44500,*,Z,0.936381950858153
000037F.16,000037F,2604501,2779000,174500,*,Autosome,0.187507134622516
000037F.17,000037F,2779001,2826500,47500,*,Z,0.988538508412072
000037F.18,000037F,2826501,3245966,419466,*,Autosome,0.448245638294419
000038F.1,000038F,1,71000,71000,*,Autosome,-0.116858513995412
000038F.2,000038F,71001,82000,11000,*,Z,1.23189590728105
000038F.3,000038F,82001,596500,514500,*,Autosome,-0.0430901877692619
000038F.4,000038F,596501,604000,7500,*,Z,1.67807265507926
000038F.5,000038F,604001,986500,382500,*,Autosome,-0.244618823836772
000038F.6,000038F,986501,2877000,1890500,*,Autosome,-0.0132792096316519
000038F.7,000038F,2877001,2883500,6500,*,Z,1.9711949996164
000038F.8,000038F,2883501,3200000,316500,*,Autosome,-0.155348709363216
000038F.9,000038F,3200001,3223000,23000,*,Z,1.71225773242345
000041F.1,000041F,1,8000,8000,*,Z,0.919845057660641
000041F.2,000041F,8001,150500,142500,*,Autosome,-0.382495287451763
000041F.3,000041F,150501,182000,31500,*,Z,0.694215946783549
000041F.4,000041F,182001,363500,181500,*,Autosome,-0.054340337452219
000041F.5,000041F,363501,369000,5500,*,Z,1.69768728691223
000041F.6,000041F,369001,3140250,2771250,*,Autosome,-0.134001941519927
000040F.1,000040F,1,547000,547000,*,Autosome,-0.19247953648568
000040F.2,000040F,547001,597500,50500,*,Z,0.695054852724217
000040F.3,000040F,597501,1238500,641000,*,Autosome,-0.230066163107218
000040F.4,000040F,1238501,1244500,6000,*,Z,1.82322778772537
000040F.5,000040F,1244501,2204500,960000,*,Autosome,-0.1370503119069
000040F.6,000040F,2204501,2210500,6000,*,Z,1.98957921760692
000040F.7,000040F,2210501,3137000,926500,*,Autosome,-0.159206042561854
000042F.1,000042F,1,744500,744500,*,Autosome,0.0332616922568603
000042F.2,000042F,744501,753000,8500,*,Z,1.35463750236923
000042F.3,000042F,753001,934500,181500,*,Autosome,0.314076626796421
000042F.4,000042F,934501,1306000,371500,*,Autosome,-0.148776235857959
000042F.5,000042F,1306001,1311000,5000,*,Z,1.79025638844872
000042F.6,000042F,1311001,2345000,1034000,*,Autosome,-0.0401875894982302
000042F.7,000042F,2345001,3045500,700500,*,Autosome,-0.203417090930435
000043F.1,000043F,1,1005500,1005500,*,Autosome,-0.0820668143875481
000043F.2,000043F,1005501,1010500,5000,*,Z,2.01910707402459
000043F.3,000043F,1010501,1171500,161000,*,Autosome,-0.11095358283398
000043F.4,000043F,1171501,1397500,226000,*,Autosome,0.27225001231101
000043F.5,000043F,1397501,2173500,776000,*,Autosome,-0.101737587504469
000043F.6,000043F,2173501,2227500,54000,*,Autosome,0.581265732369474
000043F.7,000043F,2227501,2304500,77000,*,Autosome,-0.149418879977871
000043F.8,000043F,2304501,3045500,741000,*,Autosome,0.484091875946977
000044F.1,000044F,1,12000,12000,*,Z,2.09099967263594
000044F.2,000044F,12001,648000,636000,*,Autosome,0.556435238285123
000044F.3,000044F,648001,1858000,1210000,*,Autosome,0.0111403831684797
000044F.4,000044F,1858001,2412000,554000,*,Autosome,-0.186985598857812
000044F.5,000044F,2412001,2703000,291000,*,Autosome,0.0680427782756117
000044F.6,000044F,2703001,2708500,5500,*,Z,1.88756859805237
000044F.7,000044F,2708501,2930218,221718,*,Autosome,-0.304806197336681
000045F.1,000045F,1,277500,277500,*,Autosome,0.458690122779875
000045F.2,000045F,277501,1095500,818000,*,Autosome,-0.121088039093694
000045F.3,000045F,1095501,1116500,21000,*,Z,0.905210484416154
000045F.4,000045F,1116501,1385500,269000,*,Autosome,-0.248590228369187
000045F.5,000045F,1385501,1390500,5000,*,Z,1.76191292461871
000045F.6,000045F,1390501,1727000,336500,*,Autosome,-0.235462419634385
000045F.7,000045F,1727001,2300000,573000,*,Autosome,0.111726535558077
000045F.8,000045F,2300001,2316000,16000,*,W,-1.19085123070746
000045F.9,000045F,2316001,2417500,101500,*,Autosome,0.14552347210022
000045F.10,000045F,2417501,2811500,394000,*,Autosome,-0.26074718561116
000045F.11,000045F,2811501,2821000,9500,*,Z,1.4323162544376
000045F.12,000045F,2821001,2908000,87000,*,Autosome,-0.101818883529897
000046F.1,000046F,1,742000,742000,*,Autosome,-0.240892350748075
000046F.2,000046F,742001,1221000,479000,*,Autosome,-0.0263183630886222
000046F.3,000046F,1221001,1251000,30000,*,Z,0.726122086695727
000046F.4,000046F,1251001,1586000,335000,*,Autosome,-0.147484293269262
000046F.5,000046F,1586001,1604500,18500,*,W,-1.1442941177546
000046F.6,000046F,1604501,2837000,1232500,*,Autosome,-0.163364704296095
000047F.1,000047F,1,1411500,1411500,*,Autosome,-0.0259863771738776
000047F.2,000047F,1411501,1818500,407000,*,Autosome,-0.204423251472654
000047F.3,000047F,1818501,1826000,7500,*,Z,1.82160903614053
000047F.4,000047F,1826001,2109500,283500,*,Autosome,-0.320086262237406
000047F.5,000047F,2109501,2114500,5000,*,Z,2.35974085547413
000047F.6,000047F,2114501,2536000,421500,*,Autosome,-0.208459816713163
000047F.7,000047F,2536001,2663000,127000,*,Autosome,0.277382446315014
000047F.8,000047F,2663001,2670000,7000,*,W,-1.42527544782951
000047F.9,000047F,2670001,2816407,146407,*,Autosome,0.339118788231076
000048F.1,000048F,1,587000,587000,*,Autosome,-0.101092252786157
000048F.2,000048F,587001,925000,338000,*,Autosome,0.102264922930234
000048F.3,000048F,925001,2560500,1635500,*,Autosome,-0.167884183565321
000048F.4,000048F,2560501,2600000,39500,*,W,-0.995759843891921
000048F.5,000048F,2600001,2610000,10000,*,Z,1.28557350170801
000048F.6,000048F,2610001,2805500,195500,*,Autosome,-0.123514357289968
000049F.1,000049F,1,86000,86000,*,Autosome,0.33748476629619
000049F.2,000049F,86001,617000,531000,*,Autosome,-0.0796299626503338
000049F.3,000049F,617001,624500,7500,*,W,-2.10658556043684
000049F.4,000049F,624501,731500,107000,*,Autosome,-0.247046546404815
000049F.5,000049F,731501,751000,19500,*,W,-1.07452764354884
000049F.6,000049F,751001,846000,95000,*,Autosome,0.372502615154326
000049F.7,000049F,846001,1394500,548500,*,Autosome,-0.131525706171992
000049F.8,000049F,1394501,1432000,37500,*,Z,0.893648344061191
000049F.9,000049F,1432001,1788500,356500,*,Autosome,-0.17948693374619
000049F.10,000049F,1788501,1794000,5500,*,Z,1.89970354754791
000049F.11,000049F,1794001,2754445,960445,*,Autosome,-0.100098455921907
000050F.1,000050F,1,467500,467500,*,Autosome,0.0286083156357332
000050F.2,000050F,467501,480000,12500,*,Z,1.2146529064361
000050F.3,000050F,480001,1419000,939000,*,Autosome,-0.0858165353353265
000050F.4,000050F,1419001,1447000,28000,*,W,-0.816221795725221
000050F.5,000050F,1447001,1492000,45000,*,Autosome,0.378026066008452
000050F.6,000050F,1492001,2165500,673500,*,Autosome,-0.293513634493407
000050F.7,000050F,2165501,2712418,546918,*,Autosome,-0.0659781561334445
000051F.1,000051F,1,41000,41000,*,Z,0.722320349723266
000051F.2,000051F,41001,146000,105000,*,W,-0.785119905813484
000051F.3,000051F,146001,268000,122000,*,Autosome,0.580746446127557
000051F.4,000051F,268001,310000,42000,*,Autosome,-0.208154372182487
000051F.5,000051F,310001,322500,12500,*,W,-1.70620355632364
000051F.6,000051F,322501,328500,6000,*,Z,1.8855355750981
000051F.7,000051F,328501,353000,24500,*,W,-0.616728823173836
000051F.8,000051F,353001,373500,20500,*,Autosome,0.408016117606531
000051F.9,000051F,373501,405500,32000,*,W,-1.06095798837962
000051F.10,000051F,405501,423000,17500,*,Z,0.684071406674831
000051F.11,000051F,423001,529500,106500,*,Autosome,-0.212126177895946
000051F.12,000051F,529501,544500,15000,*,Z,1.25736861677326
000051F.13,000051F,544501,595500,51000,*,Autosome,0.0550571228441139
000051F.14,000051F,595501,690000,94500,*,W,-0.78299979339371
000051F.15,000051F,690001,697500,7500,*,Z,1.124928448647
000051F.16,000051F,697501,1994000,1296500,*,Autosome,-0.0728085639361908
000051F.17,000051F,1994001,2041500,47500,*,Autosome,0.425234063327289
000051F.18,000051F,2041501,2516470,474970,*,Autosome,-0.274516197396869
000052F.1,000052F,1,1852000,1852000,*,Autosome,-0.0433159155643095
000052F.2,000052F,1852001,1982000,130000,*,Autosome,0.434572037627724
000052F.3,000052F,1982001,2401987,419987,*,Autosome,0.0674594408685244
000053F.1,000053F,1,111000,111000,*,Z,1.23693175173802
000053F.2,000053F,111001,117000,6000,*,W,-1.13103374921229
000053F.3,000053F,117001,127000,10000,*,Z,1.63177936404051
000053F.4,000053F,127001,283500,156500,*,Autosome,0.518578734397502
000053F.5,000053F,283501,303500,20000,*,Z,1.71669620047593
000053F.6,000053F,303501,468500,165000,*,Z,0.622115423220959
000053F.7,000053F,468501,850000,381500,*,Autosome,0.12439603395412
000053F.8,000053F,850001,1052000,202000,*,Autosome,0.403721309834093
000053F.9,000053F,1052001,1750500,698500,*,Autosome,0.00219782423392966
000053F.10,000053F,1750501,1771500,21000,*,Z,1.02328025537219
000053F.11,000053F,1771501,2279500,508000,*,Autosome,-0.162430604666064
000053F.12,000053F,2279501,2284500,5000,*,Z,2.14691345529728
000053F.13,000053F,2284501,2323000,38500,*,Autosome,0.0469889718957395
000054F.1,000054F,1,615000,615000,*,Autosome,0.446934195023547
000054F.2,000054F,615001,638000,23000,*,W,-1.32050275845885
000054F.3,000054F,638001,899500,261500,*,Autosome,0.232817525462077
000054F.4,000054F,899501,906000,6500,*,Z,2.32998876851682
000054F.5,000054F,906001,1163500,257500,*,Autosome,0.277780040658875
000054F.6,000054F,1163501,1174500,11000,*,Z,1.72048141134749
000054F.7,000054F,1174501,2297176,1122676,*,Autosome,0.193913131266194
000055F.1,000055F,1,125500,125500,*,Autosome,0.146530012865555
000055F.2,000055F,125501,541500,416000,*,Autosome,-0.176106052125926
000055F.3,000055F,541501,547000,5500,*,Z,1.99372117656452
000055F.4,000055F,547001,847000,300000,*,Autosome,-0.153775734044903
000055F.5,000055F,847001,855000,8000,*,Z,1.53182845391664
000055F.6,000055F,855001,1518500,663500,*,Autosome,0.118833160373325
000055F.7,000055F,1518501,1551000,32500,*,Z,1.13855964535154
000055F.8,000055F,1551001,2004500,453500,*,Autosome,0.154021696529787
000055F.9,000055F,2004501,2214000,209500,*,Autosome,0.511346274059167
000056F.1,000056F,1,286000,286000,*,Autosome,-0.1733937178858
000056F.2,000056F,286001,292000,6000,*,Z,2.23042646057253
000056F.3,000056F,292001,322500,30500,*,Autosome,-0.270267133244511
000056F.4,000056F,322501,355500,33000,*,Z,0.823308658030777
000056F.5,000056F,355501,1534000,1178500,*,Autosome,-0.0233602823227913
000056F.6,000056F,1534001,1632000,98000,*,Z,0.613798558217902
000056F.7,000056F,1632001,1833000,201000,*,Autosome,0.0792349889174768
000056F.8,000056F,1833001,1872500,39500,*,Z,0.790753197441778
000056F.9,000056F,1872501,2200920,328420,*,Autosome,0.16894406667863
000057F.1,000057F,1,221000,221000,*,Autosome,0.135254196041509
000057F.2,000057F,221001,226500,5500,*,Z,2.32452346710626
000057F.3,000057F,226501,2176000,1949500,*,Autosome,-0.170411847092443
000058F.1,000058F,1,1213500,1213500,*,Autosome,-0.138304569084117
000058F.2,000058F,1213501,1221000,7500,*,Z,1.49833304795334
000058F.3,000058F,1221001,1422500,201500,*,Autosome,0.0648209205801906
000058F.4,000058F,1422501,1450500,28000,*,Z,0.947277106655942
000058F.5,000058F,1450501,1627000,176500,*,Autosome,0.201646960051454
000058F.6,000058F,1627001,1978500,351500,*,Autosome,-0.127827360461276
000058F.7,000058F,1978501,2159238,180738,*,Autosome,0.24963591058571
000059F.1,000059F,1,428000,428000,*,Autosome,0.0909537171744285
000059F.2,000059F,428001,467000,39000,*,Z,0.81670620395554
000059F.3,000059F,467001,1740500,1273500,*,Autosome,-0.0836385584446933
000059F.4,000059F,1740501,1944000,203500,*,Autosome,0.383009883183172
000060F.1,000060F,1,21500,21500,*,Z,0.747393515573793
000060F.2,000060F,21501,196500,175000,*,Autosome,0.0898009408547368
000060F.3,000060F,196501,250500,54000,*,Z,1.00912993023047
000060F.4,000060F,250501,394500,144000,*,Autosome,0.403143144814057
000060F.5,000060F,394501,403000,8500,*,Z,1.51044674175594
000060F.6,000060F,403001,869000,466000,*,Autosome,-0.0209608822962092
000060F.7,000060F,869001,890000,21000,*,Z,1.06471832063796
000060F.8,000060F,890001,1192000,302000,*,Autosome,-0.0720165259606362
000060F.9,000060F,1192001,1197500,5500,*,Z,1.85958160018186
000060F.10,000060F,1197501,1538000,340500,*,Autosome,-0.0649655392426769
000060F.11,000060F,1538001,1680000,142000,*,Autosome,0.357974702058738
000060F.12,000060F,1680001,1933769,253769,*,Autosome,-0.226760606831693
000061F.1,000061F,1,65000,65000,*,Autosome,-0.110829321543878
000061F.2,000061F,65001,71000,6000,*,Z,1.29303108663117
000061F.3,000061F,71001,99500,28500,*,W,-0.798085397060065
000061F.4,000061F,99501,111000,11500,*,Z,1.34504955766213
000061F.5,000061F,111001,1477500,1366500,*,Autosome,-0.197779588857665
000061F.6,000061F,1477501,1882000,404500,*,Autosome,0.0640481784864438
000062F.1,000062F,1,7000,7000,*,Z,1.78577169541684
000062F.2,000062F,7001,35000,28000,*,Autosome,0.189882227873687
000062F.3,000062F,35001,74500,39500,*,Z,1.21418614915849
000062F.4,000062F,74501,169000,94500,*,Autosome,0.334948747952762
000062F.5,000062F,169001,177500,8500,*,Z,1.53234882773239
000062F.6,000062F,177501,310000,132500,*,Autosome,0.054753832049626
000062F.7,000062F,310001,326500,16500,*,W,-0.992530072456682
000062F.8,000062F,326501,376500,50000,*,Autosome,0.467579622330608
000062F.9,000062F,376501,386500,10000,*,W,-1.04644732129248
000062F.10,000062F,386501,396000,9500,*,Z,1.21000425483308
000062F.11,000062F,396001,1113500,717500,*,Autosome,0.215021422991644
000062F.12,000062F,1113501,1140500,27000,*,Z,1.05734221247927
000062F.13,000062F,1140501,1337500,197000,*,Autosome,0.309741286756309
000062F.14,000062F,1337501,1367500,30000,*,Z,1.14963191382407
000062F.15,000062F,1367501,1564500,197000,*,Autosome,0.394226652282589
000062F.16,000062F,1564501,1576500,12000,*,Autosome,-0.537980423199839
000062F.17,000062F,1576501,1817258,240758,*,Z,0.660874286289485
000065F.1,000065F,1,1480000,1480000,*,Autosome,-0.0459988212177035
000065F.2,000065F,1480001,1489000,9000,*,Z,1.37557801565129
000065F.3,000065F,1489001,1795000,306000,*,Autosome,-0.129580239931956
000065F.4,000065F,1795001,1809500,14500,*,Z,0.918333541363929
000063F.1,000063F,1,161500,161500,*,Z,0.738102813094524
000063F.2,000063F,161501,537500,376000,*,Autosome,0.268014493286346
000063F.3,000063F,537501,553000,15500,*,Z,1.01351941608826
000063F.4,000063F,553001,751500,198500,*,Autosome,-0.0224481190831032
000063F.5,000063F,751501,771500,20000,*,Z,0.976265942175739
000063F.6,000063F,771501,1122000,350500,*,Autosome,0.229441543689644
000063F.7,000063F,1122001,1794955,672955,*,Autosome,-0.126858578747015
000064F.1,000064F,1,1050500,1050500,*,Autosome,-0.00326554512527346
000064F.2,000064F,1050501,1071000,20500,*,W,-1.14762603492109
000064F.3,000064F,1071001,1564000,493000,*,Autosome,-0.15381003878625
000064F.4,000064F,1564001,1574500,10500,*,Z,1.73626520827934
000064F.5,000064F,1574501,1605500,31000,*,W,-0.603258839459629
000064F.6,000064F,1605501,1616500,11000,*,Z,1.22133214314542
000064F.7,000064F,1616501,1721978,105478,*,Autosome,-0.126882050354761
000066F.1,000066F,1,487000,487000,*,Autosome,-0.00235574001721887
000066F.2,000066F,487001,493000,6000,*,Z,2.56133666777075
000066F.3,000066F,493001,1506500,1013500,*,Autosome,-0.0278741974087397
000066F.4,000066F,1506501,1542000,35500,*,Z,1.24873962466276
000066F.5,000066F,1542001,1712500,170500,*,Z,0.643776632798797
000067F.1,000067F,1,409500,409500,*,Autosome,-0.124225661916045
000067F.2,000067F,409501,430500,21000,*,Z,0.673350220753462
000067F.3,000067F,430501,679000,248500,*,Autosome,-0.324450713218942
000067F.4,000067F,679001,685500,6500,*,Z,1.15340039667407
000067F.5,000067F,685501,1544500,859000,*,Autosome,-0.0350961780531146
000067F.6,000067F,1544501,1563500,19000,*,Z,1.57421746044798
000067F.7,000067F,1563501,1577000,13500,*,Autosome,0.323608831688605
000067F.8,000067F,1577001,1617000,40000,*,Z,2.03257719415159
000067F.9,000067F,1617001,1672000,55000,*,Z,1.36337043051967
000069F.1,000069F,1,516000,516000,*,Autosome,-0.082302048316267
000069F.2,000069F,516001,743000,227000,*,Autosome,0.2679322847721
000069F.3,000069F,743001,1591500,848500,*,Autosome,-0.165179404806509
000069F.4,000069F,1591501,1671000,79500,*,Autosome,0.286550487261725
000068F.1,000068F,1,37500,37500,*,Autosome,0.505757310405871
000068F.2,000068F,37501,42500,5000,*,W,-1.01058660218718
000068F.3,000068F,42501,138000,95500,*,Z,1.59917267541067
000068F.4,000068F,138001,280500,142500,*,Autosome,0.0858878893477879
000068F.5,000068F,280501,305000,24500,*,Z,1.55537523620195
000068F.6,000068F,305001,1105500,800500,*,Autosome,0.239167615119621
000068F.7,000068F,1105501,1263000,157500,*,Autosome,-0.0382845211134481
000068F.8,000068F,1263001,1308500,45500,*,Z,0.820378638418358
000068F.9,000068F,1308501,1582000,273500,*,Autosome,0.181197910838141
000068F.10,000068F,1582001,1666383,84383,*,Z,0.687315173221029
000071F.1,000071F,1,644000,644000,*,Autosome,0.0176200006512507
000071F.2,000071F,644001,715000,71000,*,Autosome,-0.40073543560055
000071F.3,000071F,715001,739500,24500,*,Z,0.760973570146509
000071F.4,000071F,739501,1176500,437000,*,Autosome,-0.068916501624565
000071F.5,000071F,1176501,1184500,8000,*,Z,2.03259817548116
000071F.6,000071F,1184501,1650000,465500,*,Autosome,-0.20855202185377
000070F.1,000070F,1,112000,112000,*,Z,0.725521594638061
000070F.2,000070F,112001,345500,233500,*,Autosome,0.333465349649661
000070F.3,000070F,345501,1358000,1012500,*,Autosome,-0.0622603103974138
000070F.4,000070F,1358001,1453000,95000,*,W,-0.595711167209075
000070F.5,000070F,1453001,1637000,184000,*,Autosome,-0.0336386642659906
000072F.1,000072F,1,27000,27000,*,Autosome,0.0455421635670278
000072F.2,000072F,27001,48500,21500,*,W,-1.81253902038001
000072F.3,000072F,48501,145000,96500,*,Autosome,-0.45059197829286
000072F.4,000072F,145001,1177000,1032000,*,Autosome,-0.0387855106840151
000072F.5,000072F,1177001,1622482,445482,*,Autosome,-0.274227075744546
000074F.1,000074F,1,206500,206500,*,Autosome,-0.143950117614463
000074F.2,000074F,206501,213000,6500,*,Z,1.91198854416381
000074F.3,000074F,213001,338000,125000,*,Autosome,-0.255443685758233
000074F.4,000074F,338001,351000,13000,*,W,-1.65013067536245
000074F.5,000074F,351001,656000,305000,*,Autosome,-0.204329226326819
000074F.6,000074F,656001,1144500,488500,*,Autosome,0.0808523546180941
000074F.7,000074F,1144501,1554500,410000,*,Autosome,0.532052267849415
000075F.1,000075F,1,451500,451500,*,Autosome,-0.120149312910646
000075F.2,000075F,451501,457500,6000,*,Z,1.52446019307917
000075F.3,000075F,457501,661000,203500,*,Autosome,0.00617598378948894
000075F.4,000075F,661001,667500,6500,*,Z,1.81332575202481
000075F.5,000075F,667501,1498000,830500,*,Autosome,-0.186759271743308
000076F.1,000076F,1,26000,26000,*,Autosome,0.419014592382963
000076F.2,000076F,26001,277500,251500,*,Autosome,-0.266839854681909
000076F.3,000076F,277501,302500,25000,*,Z,0.677139892914653
000076F.4,000076F,302501,885500,583000,*,Autosome,-0.254609666262122
000076F.5,000076F,885501,891000,5500,*,Z,1.68124087664142
000076F.6,000076F,891001,964000,73000,*,Autosome,-0.359366230317581
000076F.7,000076F,964001,1001500,37500,*,Autosome,0.31595478535061
000076F.8,000076F,1001501,1007500,6000,*,W,-1.88258344043028
000076F.9,000076F,1007501,1492856,485356,*,Autosome,-0.186201459468552
000039F.1,000039F,1,93000,93000,*,Autosome,0.124576347601156
000039F.2,000039F,93001,165500,72500,*,Autosome,-0.458395486167387
000039F.3,000039F,165501,537500,372000,*,Autosome,0.0519162044606548
000039F.4,000039F,537501,542500,5000,*,Z,1.74299608377102
000039F.5,000039F,542501,586000,43500,*,Autosome,-0.224795803340243
000039F.6,000039F,586001,605000,19000,*,Z,0.966967884991123
000039F.7,000039F,605001,1409500,804500,*,Autosome,-0.192635676961889
000078F.1,000078F,1,130000,130000,*,Autosome,-0.148816795351541
000078F.2,000078F,130001,138000,8000,*,Z,1.40414398155099
000078F.3,000078F,138001,283500,145500,*,Autosome,-0.260230352384153
000078F.4,000078F,283501,294500,11000,*,Z,1.02339230057964
000078F.5,000078F,294501,941000,646500,*,Autosome,-0.160596152775951
000078F.6,000078F,941001,956500,15500,*,Z,0.881917625474413
000078F.7,000078F,956501,1360000,403500,*,Autosome,-0.191579528931291
000078F.8,000078F,1360001,1384440,24440,*,Z,0.627565017810397
000079F.1,000079F,1,863000,863000,*,Autosome,-0.180530375225225
000079F.2,000079F,863001,968500,105500,*,Autosome,0.27506924471188
000079F.3,000079F,968501,1095000,126500,*,Autosome,-0.186129512009884
000079F.4,000079F,1095001,1147500,52500,*,Z,0.955298363661972
000079F.5,000079F,1147501,1368500,221000,*,Autosome,0.0496960663318815
000080F.1,000080F,1,317500,317500,*,Autosome,0.104709617261377
000080F.2,000080F,317501,340000,22500,*,Z,1.48546757066071
000080F.3,000080F,340001,421000,81000,*,Autosome,0.0868009756381081
000080F.4,000080F,421001,449000,28000,*,Z,1.14914752499649
000080F.5,000080F,449001,537500,88500,*,Autosome,-0.394419271951303
000080F.6,000080F,537501,607000,69500,*,Autosome,0.457903335703678
000080F.7,000080F,607001,630000,23000,*,W,-1.26950251726668
000080F.8,000080F,630001,660500,30500,*,Autosome,0.296955172464675
000080F.9,000080F,660501,701000,40500,*,Z,1.35056847574184
000080F.10,000080F,701001,726500,25500,*,Z,2.26094179930142
000080F.11,000080F,726501,908000,181500,*,Autosome,0.00837409876493231
000080F.12,000080F,908001,961000,53000,*,Z,0.68045810128167
000080F.13,000080F,961001,996000,35000,*,Autosome,-0.291970442660302
000080F.14,000080F,996001,1013500,17500,*,Z,1.46830237023253
000080F.15,000080F,1013501,1022500,9000,*,Autosome,-0.378139942248372
000080F.16,000080F,1022501,1042500,20000,*,Z,1.00549094343181
000080F.17,000080F,1042501,1072000,29500,*,Autosome,-0.352974930359096
000080F.18,000080F,1072001,1077000,5000,*,W,-3.02253492685783
